episode,return,rolling_mean_reward
571,-0.09999999999999999,7.2335
572,21.0,7.444
573,10.0,7.4643
574,10.0,7.4143
575,5.0,7.3345
576,4.0,7.314500000000001
577,-0.03,7.2542
578,14.98,7.284
579,-0.08,7.2835
580,12.0,7.4041
581,4.0,7.4447
582,15.99,7.6052
583,11.0,7.5252
584,-0.08,7.4546
585,-0.05,7.4549
586,-0.08,7.4540999999999995
587,-0.08,7.454
588,10.0,7.534
589,9.0,7.593999999999999
590,-0.060000000000000005,7.593999999999999
591,8.0,7.674600000000001
592,-0.060000000000000005,7.5346
593,11.0,7.5446
594,14.98,7.5944
595,-0.09999999999999999,7.433400000000001
596,-0.08,7.4329
597,9.0,7.3931
598,16.0,7.5537
599,-0.05,7.5534
600,-0.01,7.403300000000001
601,13.0,7.4333
602,-0.060000000000000005,7.433400000000001
603,22.0,7.513400000000001
604,13.0,7.6438999999999995
605,19.0,7.8344000000000005
606,11.0,7.9449000000000005
607,-0.060000000000000005,7.7549
608,9.98,7.8553
609,24.99,8.1058
610,8.0,8.0458
611,17.0,8.0858
612,9.0,8.1358
613,7.0,8.046
614,9.0,8.056000000000001
615,-0.04,7.915800000000001
616,6.0,7.8059
617,-0.060000000000000005,7.7153
618,-0.08,7.6545000000000005
619,11.0,7.765
620,4.0,7.8058000000000005
621,11.99,7.755700000000001
622,14.0,7.8757
623,13.0,7.8157000000000005
624,9.0,7.776
625,-0.03,7.7761000000000005
626,5.97,7.8361
627,6.0,7.896599999999999
628,15.0,7.9666
629,15.0,7.8766
630,8.0,7.6966
631,6.0,7.736599999999999
632,9.0,7.686599999999999
633,-0.08,7.6864
634,-0.060000000000000005,7.6861
635,-0.04,7.5760000000000005
636,-0.04,7.4456
637,14.96,7.465199999999999
638,-0.01,7.4661
639,-0.04,7.466
640,12.96,7.5963
641,-0.07,7.5962
642,-0.07,7.546
643,16.98,7.7164
644,9.0,7.6067
645,16.0,7.636699999999999
646,14.0,7.6573
647,6.0,7.6273
648,3.0,7.597300000000001
649,23.0,7.7273000000000005
650,14.0,7.7673000000000005
